fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
Matt,Lloyd,14,UTIL,Sr.,"6'1""",195 lbs,"Okotoks, Alberta, Canada",Foothills Composite,https://iuhoosiers.com/images/2019/1/31/lloyd_matt.jpg?width=80,3
Pauly,Milto,15,RHP,Sr.,"6'3""",240 lbs,"Greenwood, Ind.",Roncalli,https://iuhoosiers.com/images/2019/1/31/milto_pauly.jpg?width=80,3
Austin,Long,16,RHP,So.,"6'3""",215 lbs,"Bedford, Ind.",Bedford North Lawrence,https://iuhoosiers.com/images/2019/1/31/long_austin.jpg?width=80,3
Braden,Scott,18,LHP,So.,"6'3""",200 lbs,"Jasonville, Ind.",Olney Central College,https://iuhoosiers.com/images/2019/2/10/Scott_Braden.jpg?width=80,3
Tommy,Sommer,19,LHP,So.,"6'4""",207 lbs,"Carmel, Ind.",Carmel,https://iuhoosiers.com/images/2019/1/31/sommer_tommy.jpg?width=80,3
Brad,Busald,20,LHP,Jr.,"6'5""",210 lbs,"Rushville, Ind. ",Lincoln Trail College,https://iuhoosiers.com/images/2019/1/31/busald_brad.jpg?width=80,3
Elijah,Dunham,21,OF,So.,"6'0""",213 lbs,"Evansville, Ind.",F.J. Reitz,https://iuhoosiers.com/images/2019/1/31/dunham_elijah.jpg?width=80,3
Andrew,Saalfrank,23,LHP,Jr.,"6'3""",205 lbs,"Hoagland, Ind.",Heritage,https://iuhoosiers.com/images/2019/1/31/saalfrank_andrew.jpg?width=80,3
Connor,Manous,25,RHP,So.,"6'0""",181 lbs,"Munster, Ind.",Munster,https://iuhoosiers.com/images/2019/1/31/manous_connor.jpg?width=80,3
Ryan,Fineman,29,C,Sr.,"6'0""",215 lbs,"Westlake Village, Calif.",Agoura,https://iuhoosiers.com/images/2019/1/31/fineman_ryan.jpg?width=80,3
Scotty,Bradley,30,INF,Jr.,"6'2""",221 lbs,"Pennington, N.J.",Hopewell Valley Central,https://iuhoosiers.com/images/2019/1/31/bradley_scott.jpg?width=80,3
Michael,Dunkelberger,31,LHP,Fr.,"5'11""",180 lbs,"South Bend, Ind. ",Saint Joseph's,https://iuhoosiers.com/images/2019/1/31/dunkleberg_mike.jpg?width=80,3
Tyler,VanPelt,32,OF,Fr.,"5'11""",185 lbs,"Bloomington, Ind.",Bloomington South,https://iuhoosiers.com/images/2019/1/31/Van_Pelt_tyler.jpg?width=80,3
Wyatt,Cross,33,C,Sr.,"6'3""",201 lbs,"Broomfield, Colo.",Legacy,https://iuhoosiers.com/images/2019/1/31/cross_wyatt.jpg?width=80,3
Braydon,Tucker,34,RHP,Fr.,"6'4""",215 lbs,"Brazil, Ind.",Northview,https://iuhoosiers.com/images/2019/1/31/tucker_braden.jpg?width=80,3
Matt,Litwicki,35,RHP,Fr.,"6'1""",201 lbs,"Dyer, Ind.",Lake Central,https://iuhoosiers.com/images/2019/1/31/litwicki_matt_71.jpg?width=80,3
Gabe,Bierman,37,RHP,Fr.,"6'2""",170 lbs,"Jeffersonville, Ind. ",Jeffersonville,https://iuhoosiers.com/images/2019/2/8/Bierman_Gabe_Edit.jpg?width=80,3
Jake,Skrine,38,INF,Fr.,"6'2""",200 lbs,"Longmont, Colo. ",Mead,https://iuhoosiers.com/images/2019/1/31/skrine_jake.jpg?width=80,3
Sam,Crail,39,OF,So.,"5'10""",192 lbs,"Sheridan, Ind.",Sheridan,https://iuhoosiers.com/images/2019/1/31/crail_sam.jpg?width=80,3
Carter,Bridge,40,OF,Jr.,"6'0""",185 lbs,"West Lafayette, Ind.",Heartland C.C.,https://iuhoosiers.com/images/2019/2/10/Bridge_Carter_71.jpg?width=80,3
Grant,Sloan,42,RHP,So.,"6'4""",190 lbs,"Zionsville, Ind.",Zionsville,https://iuhoosiers.com/images/2019/1/31/Sloan_Grant_71.jpg?width=80,3
Cam,Beauchamp,44,LHP,Jr.,"6'2""",205 lbs,"Peru, Ind.",Peru,https://iuhoosiers.com/images/2019/1/31/Beauchamp_Cam_71.jpg?width=80,3
McCade,Brown,51,RHP,Fr.,"6'6""",200 lbs,"Normal, Ill.",Normal West,https://iuhoosiers.com/images/2019/2/8/Brown_McCade_Edit.jpg?width=80,3
